customer_age,customer_income,account_age_days,is_foreign_transaction,device_fingerprint_age_days,merchant_risk_score,transaction_amount,transaction_velocity_24h,is_fraud
49,11395.191273841561,110,0,41,0.1272015452934077,993.4866862216189,1,0
47,11085.481206788494,170,0,87,0.1626240914548067,1294.4820968416884,1,0
48,80700.71733526248,24,0,179,0.2667954589911904,4206.333868657097,3,0
48,92926.42225164536,192,0,107,0.31047267488409735,4320.020889126883,4,0
74,107776.57737311168,272,0,67,0.4331357858904579,4860.494408387002,4,0
35,20860.410763847336,28,1,4,0.24051556626721454,1783.8185426279422,3,0
34,42653.02484320336,122,0,26,0.34317835017093123,2624.198403277614,2,0
29,47411.267178520015,609,0,63,0.060009417262879367,2678.151566647811,2,0
51,9267.174998732049,588,1,15,0.23061037555125252,1053.7271266763998,3,0
58,41184.13354815694,361,1,101,0.26955297913351073,2536.119780654634,3,0
40,40577.42556714788,323,0,15,0.2621427185987327,2210.5223790124273,1,0
29,65923.38478755832,77,1,39,0.057609160768328865,3454.067996500824,1,0
29,22988.43381368534,285,0,14,0.4976474717416749,1991.3083590490796,1,0
51,98750.31587335473,19,0,154,0.29021606366271835,4500.043381329613,5,0
53,38726.15205580976,869,0,92,0.5313203832455489,2326.3744733362637,2,0
50,142596.60567219733,313,0,300,0.3706038782632465,6704.039971707368,2,0
32,65991.88918578083,153,0,108,0.21323271245738903,3254.6917223372475,3,0
45,45349.66108923226,166,1,103,0.3216887222876183,2359.4815127915845,3,1
43,14107.799169017873,278,0,63,0.21782060978929663,1208.70358717502,7,0
45,12632.128726302511,1078,0,125,0.23948856769497057,1157.7239708457653,2,0
55,130704.35909808503,57,0,77,0.12258643171180628,5742.077567335736,1,0
45,73290.30755341306,580,0,66,0.008933774931521506,4543.89487892589,2,0
52,28909.737033591882,37,1,56,0.3971676973346396,1672.8487686701342,2,1
43,26018.293795110745,107,1,118,0.4146080575401758,2058.4712000556315,2,0
46,43369.310102555704,67,0,126,0.2192480326131002,3399.56124638186,2,0
51,12380.143381174366,236,0,34,0.28952269161041855,1013.090349226075,1,0
20,24980.65663938043,75,0,10,0.06617628121854502,1640.9086978972634,2,0
37,59280.18959644723,347,0,124,0.34442335894526155,3781.721265145826,3,0
34,65975.91925612163,391,0,293,0.1067387294037141,3736.4981636506345,5,0
32,27052.306902709668,55,0,245,0.2658428740361459,1651.4689502010333,1,0
37,130639.72537186345,445,1,112,0.21485413076072735,5860.532710786063,1,1
64,83783.24545702836,189,1,8,0.36090241487850655,4133.365007926747,1,0
29,19633.418530193892,152,0,33,0.20989742668345543,1832.9723725296008,1,0
56,13086.66655829021,60,1,165,0.3413032662832293,1255.8961171611222,1,0
18,58434.07362256412,110,1,233,0.33826232116225297,3162.200172326085,3,0
36,25335.031905869673,469,1,149,0.46554209068007746,1958.3788632771054,2,0
44,21763.03616202752,251,0,100,0.07605692881632226,1533.4142648814297,4,0
50,43404.24594825337,74,0,5,0.34770953403779925,2298.8567029109017,4,0
52,64570.01221575735,164,0,12,0.31062486075954526,3785.333675264914,2,0
53,68428.19183176802,133,0,14,0.11797908857363718,3261.18773192343,4,0
36,37954.63931099522,77,0,100,0.4387843384808755,2051.264142078199,4,0
35,5795.704313639997,445,0,36,0.3932675028435601,1539.6836450556025,1,0
54,77927.67159430952,421,0,120,0.3044144920887521,4137.698218315119,1,0
39,19056.015817921605,156,0,267,0.504050975407903,1802.0805320279019,2,0
22,46476.53537946802,345,0,127,0.171652104517184,2849.7769031407265,2,0
25,32934.397353698085,552,0,211,0.4529748648954787,2006.5808808795714,3,0
28,218653.75225025724,86,1,183,0.20078748866029694,9612.504825176868,1,1
49,188398.84794191355,527,0,53,0.3185682968852622,8206.937075172513,1,0
44,25145.18440341184,14,0,92,0.10971090740215908,1542.8531005513128,1,0
52,12385.599995326746,347,0,44,0.3245670730571392,1099.6536566719155,2,0
35,13185.361711307283,583,0,0,0.29407586020778637,1325.0829180181227,3,0
44,45127.75467620993,133,0,160,0.21720949449436552,2886.421717713318,2,0
51,23581.10398210495,1440,0,71,0.36029749404994627,1742.8043171401268,3,0
37,14929.587210543523,185,1,28,0.3253928733386935,1603.6951153146317,2,0
48,23886.333892025137,1085,0,31,0.19708310451163338,1782.1678042331764,1,0
32,52101.6850890633,256,0,14,0.2407917858602902,2693.5148485208756,1,0
36,34111.46448665682,596,0,26,0.20593977968157584,1880.799235295578,1,0
36,24688.409577585582,655,0,63,0.2568527505590031,1530.435718998132,4,0
24,27295.949129726938,1161,1,5,0.24953390943063977,1633.7375574157277,1,0
49,31903.015258403677,215,0,7,0.1382728506508627,2224.6303587025777,1,0
34,43395.12309742396,88,0,7,0.24347867616208144,3385.7450196297905,3,0
42,45479.95556337802,223,0,4,0.21507448206022747,2446.6531271553567,2,0
49,9713.609370807502,394,1,67,0.24143024448085038,1321.3038864493806,4,0
48,41496.25003689161,322,1,2,0.20806278523016886,2511.740784706034,2,1
51,27183.256497311857,1366,0,107,0.023645124099573332,2000.1860564110839,2,0
40,16138.514235510875,147,1,14,0.3463116481575756,1511.0911606717646,4,1
35,26952.481234563144,130,1,31,0.4382285874591754,1601.0461385945143,3,0
40,91574.58657653908,89,0,245,0.42070178364343086,4495.196340790751,2,0
18,69348.43014712907,252,0,7,0.5137924995593925,3542.9503167577514,2,0
20,39252.31410432295,440,0,82,0.09082621929886947,2136.567030286481,2,0
22,17717.73607605955,30,0,75,0.36108305881964214,1902.1772071125256,3,1
27,12237.951066628497,376,0,189,0.06971530210835973,1201.8553205672881,2,0
47,17095.105227032,154,0,347,0.49707258735202214,1584.0321190648247,6,0
28,36671.95749882473,150,0,34,0.4982216109657638,2010.6463444605124,2,0
36,37295.46341116284,490,0,43,0.5328893070736754,2529.196082908869,3,0
61,21566.82033783754,755,1,10,0.3381458530883117,1552.7012215579593,1,0
36,73294.45597960944,104,0,27,0.2797179829111797,3616.276333028115,2,0
53,49394.38759336661,59,0,8,0.10597351083362044,2636.9362790141486,2,0
27,4354.553153486253,926,0,154,0.3191628759753724,1157.5021148199246,3,0
38,39629.833281669795,239,0,17,0.5250345524682829,2608.827165938192,2,0
27,66461.63005054904,67,0,33,0.49986272441521445,3372.640985913352,1,0
36,42699.72023638236,341,0,107,0.3600802639117935,2410.3556525093068,4,0
54,57826.70141302472,619,1,138,0.4589415124770663,3119.971915988296,1,0
18,29413.82958445909,109,0,3,0.1967119725110049,1912.9352385323289,2,0
48,34468.3284896974,171,0,279,0.41695339134136855,2197.2355996244296,1,0
45,35049.6016653944,84,1,27,0.26220653707917496,2175.705298943784,2,0
33,42077.336263199126,410,0,79,0.29543922984489135,2231.267051946973,2,0
20,22850.188627144857,197,0,14,0.5771848526326971,1517.5168119058685,3,0
43,87028.2155993187,65,0,68,0.3837998709870378,4364.88701650416,1,0
34,113348.78132763656,7,0,5,0.3615495580399389,5109.342764082889,6,0
45,23746.339139034393,90,1,15,0.3951120681060862,1570.520080355536,5,1
42,14257.478444893824,362,0,15,0.1477379242632728,1312.344729040786,1,0
66,12379.51116013943,16,0,104,0.2440147378029063,1115.1964457358981,3,0
38,50210.18753129831,86,0,21,0.3351472187931868,4037.845322647202,1,0
26,58120.25962047078,641,0,22,0.28710396886996997,2896.909079400703,1,0
44,50379.35401078424,3,0,55,0.23782267913658142,2949.0158215759084,1,0
45,53966.8702538374,178,1,48,0.4541562304041626,2840.9800495235227,2,0
62,23047.235927538746,432,0,88,0.6046839576425384,2083.437707234024,3,0
54,7389.976130798527,226,0,59,0.07584213901402699,1124.6776260574288,2,0
47,24395.897761236538,725,0,155,0.6330306825547548,1850.8968145500226,2,0
63,136365.19508302366,0,0,120,0.38341050910238444,6716.490900298052,3,1
24,44884.06799310145,344,0,17,0.17296452961419742,2491.186922207382,2,0
32,51002.53492916493,612,0,126,0.35302752498439444,2575.6098809584,1,0
28,74891.39098828287,233,0,22,0.11038478239335206,3679.773816152867,4,1
36,18544.557859004417,83,0,13,0.17789039114186572,1324.11558005668,3,0
21,43424.64598051865,559,0,43,0.46347182417554633,2403.533245133273,2,0
51,54707.89937760588,361,0,3,0.17454351879032734,2720.970087662017,4,0
38,17222.72644739181,364,0,63,0.11275138884280787,1205.623642951785,1,0
19,48585.856874923236,176,0,32,0.5486900153206493,2608.3012470652825,3,0
26,102364.20319053544,1244,0,162,0.22019300340842948,5808.960971253364,2,0
46,26355.65613208639,1251,0,50,0.424649986218242,1623.1435735837451,2,0
54,9155.492367203291,215,0,266,0.13839872017939986,881.0971035250244,3,0
71,41692.44805080775,6,0,67,0.44142574492836834,2803.3357538575733,3,0
85,21477.520629110997,298,0,162,0.25307894052054875,1716.47477314165,1,0
48,41976.63034878389,545,0,15,0.2559107535732562,2235.357166763271,1,0
27,18513.963153465033,315,0,103,0.215982181610644,1314.9979462654237,2,0
18,38130.79560471198,240,1,45,0.1900210544255662,2286.871379781179,3,0
46,96933.4954394063,229,0,1,0.3443630084623906,4546.556659749147,1,0
29,35516.752315945334,815,0,263,0.03136405905347221,2559.2067352344693,2,0
35,9707.743193823095,262,1,79,0.33103239894552966,1201.8474564455792,4,0
32,49049.325868168926,312,0,113,0.34869715561416603,2949.24685377635,3,0
39,36898.47459082594,1694,1,272,0.2585629395670046,2350.147649110772,3,0
57,43069.978166962246,695,0,116,0.16046838355368653,2237.1879238148003,1,0
44,79107.04329913831,510,0,8,0.16589797872961726,3716.6457849764292,2,0
39,23859.676005793823,1668,0,98,0.2196696961453695,1605.510204693375,1,0
26,28841.388772902304,352,0,71,0.35154739277902985,2557.680532895647,2,0
18,15937.977968940646,328,0,128,0.27602947273051137,1530.3411572143332,4,0
34,42390.82580242463,364,0,342,0.3573056117387024,2302.528496883981,3,0
41,41510.85736169293,1194,0,21,0.15599838887225037,2188.19871726606,1,0
68,29502.151766335603,517,0,61,0.2225482955177658,1738.2607279294145,1,0
43,66016.94814143697,593,0,32,0.3312484478918756,3433.8851284921557,3,0
56,15845.570020984556,117,0,31,0.10454744357897702,1500.4868969618267,2,0
34,40197.52777856995,119,0,53,0.20755245053448873,2236.4400837333283,3,0
24,58740.74513495313,282,0,89,0.03799797500819927,3524.8892505583467,1,0
27,23537.61380695599,524,0,30,0.4550042307899918,1702.670260582815,1,0
31,12102.573571139676,401,0,120,0.2860248686416789,1085.8043409470156,1,0
73,9355.433032437768,1319,1,53,0.022906050556084103,1198.18753169921,1,0
29,41120.075674164495,618,0,92,0.38077510015607524,2310.6034404946613,1,0
54,140817.67324540587,842,0,107,0.420425179996514,6547.552931725291,3,1
28,22297.361973026742,38,0,33,0.3665197917091576,1963.6778749117439,3,1
55,52107.14273292967,398,0,38,0.08191064528805714,2762.9611346614856,4,0
47,5217.291900100341,247,0,33,0.2546159961606338,784.4740999496578,4,0
39,48953.1650705705,247,0,275,0.38631756055573,2759.816608410602,5,0
41,15203.430689150855,99,0,196,0.25521430171112025,1610.8381328356982,1,0
32,26511.716416397696,98,0,65,0.3971361859811033,2145.966369501751,3,1
48,38680.62193793404,1171,0,33,0.5795018487713227,2142.25681166662,1,0
35,9617.814842795877,1056,0,24,0.3379487326765217,1025.3971088050519,4,0
23,449779.6796122611,57,0,131,0.0901799773343236,18801.994400634525,1,1
22,22376.109885094553,825,0,61,0.5099832932073569,1434.239593130325,1,0
44,59018.45088258653,53,0,114,0.37144009032402064,3228.0828036548587,1,1
65,119866.49397888195,970,1,161,0.09782860747241252,5418.111281181933,2,0
44,45915.338199536614,283,0,69,0.1884125098892394,3019.8295023703854,5,0
40,13599.981817695065,227,0,118,0.3466868016664786,1584.1635139970238,1,0
46,39425.30409265335,335,0,57,0.22533021044949678,2127.3130510130904,2,0
61,8348.916129428402,649,0,1,0.5903367460632856,952.724115798312,2,0
45,27867.294710917566,3,0,11,0.23007668065079515,1883.1308447267359,2,0
35,138900.69928222682,650,0,388,0.2120788488393152,6437.475522822284,2,0
58,11743.32281273829,4,0,230,0.19964948804131852,1080.3076565686258,2,0
48,18782.16460703928,1798,0,92,0.06634612000070748,1536.7232875635805,1,0
65,159992.91007422813,66,0,49,0.6564846260701751,7579.1845935123665,2,1
44,31590.468749001397,96,0,9,0.4736829393500111,1789.6486897471366,5,0
23,17765.95281648555,2,0,21,0.2263561641033053,2052.2078984160426,1,0
21,49581.102131446176,14,0,46,0.452460795146009,2653.3582380800044,3,1
66,24958.283341343773,660,0,57,0.2143263158013537,1950.8975733184736,2,0
67,4134.91972138008,129,0,147,0.3525799628293551,1471.8871778113594,3,0
39,12229.839451534881,617,0,27,0.3840136924967309,1073.4728792176186,4,0
36,188262.65049588215,242,0,52,0.43872936141472146,8186.851594246037,3,0
63,47217.40161942104,686,0,167,0.27421763838265484,2529.104207071473,1,0
25,117119.47076597657,441,0,89,0.4676500736206029,5358.281978158964,2,0
28,15940.886519157977,785,0,106,0.24929800263937477,1142.4570376160716,2,0
51,34751.2898384509,393,0,91,0.40996952202310083,2303.1757216158117,3,0
36,31725.71885057867,117,0,2,0.397412260642462,1837.2640840688512,2,0
41,23439.223176338786,1275,1,5,0.2731832750729651,1603.7437838728436,5,0
39,42966.9843421949,517,1,66,0.18401435413074863,2306.9418894953865,2,0
47,14886.156868697024,993,0,2,0.2486942023872251,1252.4277964562484,1,1
63,95567.4779532445,501,0,42,0.05922442115714133,4992.364562112198,2,0
43,52775.62382958886,3308,0,65,0.07014086196080953,2736.966400178647,4,0
51,31593.83155637463,268,0,119,0.12235328305674886,2115.5352703817416,2,0
18,40401.49758775924,187,0,131,0.5555696514210775,2569.86985954235,1,0
41,28513.036806399552,577,0,51,0.18225678202604403,1911.9771345419224,1,0
29,9146.922166880735,298,0,57,0.3379184485514915,1679.7486766887453,4,0
23,16439.77080651722,579,0,98,0.3031748161980774,1572.848441855848,4,0
28,31443.31492298688,499,0,59,0.17656352515211401,1803.3346127973891,1,0
36,27385.11409077877,1075,0,38,0.047431978760601255,1937.8698550810132,2,0
55,60965.77196470943,625,0,148,0.1848139485751742,3830.8463018194916,3,0
22,56856.83178787293,72,0,156,0.3354816206276305,3182.1275872309807,2,0
42,23205.03623029072,186,0,60,0.4499058463047381,1617.9257662919613,1,0
34,16888.893299919586,141,0,9,0.07072420245291029,1527.0201416801488,2,0
37,66427.10640272615,480,0,174,0.16906192853664057,3234.542956440457,1,0
57,42253.1237985611,50,0,111,0.43528704894632847,2479.862769906589,2,1
50,22086.606780302915,276,0,20,0.2057420166538793,1425.7623767131897,5,1
62,14565.691272937105,137,0,263,0.23283359921919497,1129.703918324654,3,0
39,21148.666029298052,834,0,11,0.5073767455774427,1572.742717190312,5,0
31,49690.12999995849,521,0,47,0.22653784651725387,2718.9278587993595,2,0
38,140006.597511441,85,0,178,0.07507375008018047,6127.949301688327,4,0
45,30652.574492911655,66,0,49,0.2987265434870495,1781.5423913486372,1,1
44,18650.049514869548,102,0,6,0.2198626491344722,1488.241328938008,3,0
25,203977.52988401052,79,0,255,0.04277213716961405,8733.414811725981,2,0
43,26970.174313020223,15,0,42,0.5463649557691576,1633.6092099932787,1,0
45,19239.34285963177,91,0,18,0.23487984695564598,2000.4663994104994,3,0
79,26216.751127215775,156,0,9,0.08270281777122589,1591.8501784778994,3,0
70,25192.684816631732,212,1,239,0.2816003011359686,1738.689489271756,1,0
29,100352.16463365444,9,0,427,0.11974124021051369,4551.601408964702,5,0
37,9518.702326272007,237,0,71,0.37637949484480054,1239.2273549252975,3,1
20,58431.46981507385,249,0,15,0.25047415090173564,2839.2419552396304,5,0
33,35998.54870486585,1048,0,13,0.23687206938288563,2201.1518314072923,2,0
46,23263.586378764216,29,0,102,0.2232375324656931,1827.776880186855,1,0
60,27757.613516142457,32,0,65,0.46148788922291806,2508.454747851483,4,0
31,29716.440338804874,433,1,53,0.3891535965161043,1702.149201930712,2,0
32,38966.7274566466,21,0,175,0.3250735171447136,2281.003924724496,4,1
18,25309.59564049477,675,0,109,0.6535637103783848,1547.9520275469092,2,0
39,34461.33573641249,25,0,30,0.07698370176608216,2320.062894717774,4,0
26,19499.12403939504,270,0,203,0.10667972496498832,1517.1669112268223,2,0
34,208051.07165716102,71,0,29,0.14544364666167084,9602.283167255671,5,0
28,81423.16188373051,282,0,139,0.49942812710703,4560.263960802403,1,0
40,53682.87192388163,115,1,88,0.13363158783993942,2742.3750610640645,3,0
18,25462.09271275178,309,0,138,0.15120352598970102,1531.6974554529863,1,0
19,70064.49111836511,769,0,27,0.15667168496110218,3386.381869239697,4,0
73,46139.71971750996,194,0,66,0.42438042539287235,2731.023386251554,1,0
22,39944.30241966403,17,0,31,0.16129997224279238,2353.9722026111385,3,0
25,23708.335916868295,293,0,133,0.056780652899109205,1637.0338598107337,2,0
69,45236.717715030056,145,0,91,0.20350916858971982,2316.198974849084,5,0
85,139643.5727041482,682,0,81,0.1998253066480279,6240.3293326885905,3,1
24,38736.534542797555,446,0,27,0.37636091420538254,2060.590058904533,2,0
36,29408.946313820532,5,0,10,0.21983465594406904,1785.0162111535533,4,0
47,39316.02960184749,338,0,326,0.15993957462504216,2181.2000115544006,3,0
67,37610.196300668635,2963,0,191,0.1000978176384789,2330.0974469193293,1,0
27,23442.264922249356,892,0,84,0.6450968079430258,1468.1058766746642,3,0
38,20071.019078926973,265,0,45,0.2323396078224083,2229.2107297690727,3,0
53,68501.41990106442,162,0,13,0.21051920727655465,3280.933819498555,1,0
48,95251.32906042824,554,0,84,0.3896873443588455,4490.873109481328,3,0
36,222496.44852172217,292,0,83,0.20429687603841604,9422.591086489945,3,0
39,52397.245564953955,267,0,5,0.07909308104562399,3042.199399848208,3,0
21,39869.51209228862,40,1,296,0.1972534733054927,3147.5474289447075,1,1
38,74714.34323225952,119,0,95,0.12452167476014185,5127.992073615437,1,0
38,17563.727492203972,703,0,4,0.786335165456867,1542.8853187215036,3,0
45,60722.04923941471,329,0,42,0.2902993287491487,3302.3745219716848,4,0
33,83367.57364960466,75,0,160,0.46019502462067186,4359.377081495635,2,0
49,82403.11632856716,150,0,124,0.33613365044631477,4305.897902971523,3,0
57,137836.49111569155,318,0,2,0.13465055016324556,6948.682019509509,3,0
44,22500.028164261515,804,0,128,0.3475397560025954,1831.0013321825982,1,0
47,24492.581222670236,738,1,110,0.28962860807639,1687.4955166962784,1,0
42,30573.090856017257,77,0,67,0.3294309697641267,1734.6232233518301,1,0
42,14876.737102846906,1752,0,57,0.12972549557032773,1764.2178700386335,1,0
31,55866.58863496069,47,0,72,0.6049243251298275,2790.0588261884027,2,0
46,62325.14391193038,806,0,79,0.3507037726041714,3269.695313208655,1,0
40,56911.01786342921,405,0,335,0.5186024287318878,2929.9864509618774,3,0
73,40925.425025883465,181,0,28,0.6675515023908168,2222.189293987964,1,1
65,81198.19599509792,64,1,71,0.31939069571261336,3823.1454400788384,2,0
47,57534.62095840456,453,0,135,0.3473247398822023,2891.944072858641,4,1
30,22426.274201682372,59,0,280,0.16942082971507313,1473.6963184959477,4,0
25,3429.0700383736803,57,0,53,0.14837339558430673,711.7926556131523,3,0
59,27870.721510151267,488,0,55,0.29116749237591455,1724.3024061813144,2,1
45,37467.97273249931,1043,0,76,0.3373025800924457,2097.32924467213,2,1
49,37717.66226752768,174,0,3,0.22215659476625785,2212.030233654093,1,0
18,31464.86586905448,1926,0,78,0.34773273570342456,2372.62440619442,1,1
55,23636.443872997377,4,0,134,0.1598777302740774,1742.723439903089,5,0
48,18445.181138043477,48,0,14,0.16623881321125444,1365.9410575420889,1,0
25,15892.897860399547,336,0,24,0.0900755579983801,1153.2250836729177,2,0
34,51429.42502146117,57,0,20,0.16093870177780825,2613.449826552148,4,0
45,86736.47043157287,1457,0,52,0.4593589593869421,4019.284122304509,4,0
42,13346.547548180197,218,0,37,0.16405277287682915,1059.869653450183,2,0
37,34577.815146074194,148,0,65,0.18130953576807485,2075.0650712863767,3,0
40,68253.19663771981,18,0,123,0.4482318018743448,3479.335195257172,4,0
38,31222.40683202585,145,0,48,0.2247309160426301,2075.083760581887,5,0
44,64395.892758982605,521,0,346,0.41055069179991804,3134.418857735535,4,1
64,86049.49262299032,317,0,139,0.20302314347109743,5306.652418933119,1,0
18,49787.55594333248,1037,0,99,0.13820912203420022,2665.8516400161334,1,0
38,24427.337686449053,94,0,96,0.27443189615340075,1567.997790219171,1,0
44,103989.72869984318,493,0,19,0.4385080097159089,5080.407663647022,1,0
46,29320.18020916002,535,0,129,0.2935571467047044,2111.6473330836916,3,0
36,29320.855645906606,402,0,39,0.2771500277940072,1697.777177478237,1,0
18,54825.48374976936,435,0,257,0.19032008113329552,3518.14740112251,3,0
46,28533.057036420603,280,0,153,0.03886896345405154,2857.3171029923133,1,0
67,30362.09346031996,865,0,37,0.5452901399135692,1965.420966663166,2,0
18,26930.376853286707,15,0,162,0.6059398966916418,1849.4230264060718,3,0
54,31428.493868289344,748,1,47,0.41830211902046344,1995.5910678419007,1,1
37,42513.303739983625,109,0,13,0.3327321823696371,2218.4878137158335,2,0
41,7493.894704197517,42,0,287,0.34454174011175676,1472.904163031004,2,0
26,33579.23435295948,439,0,57,0.20172164388044164,2639.9912224632108,4,0
36,8848.757085293319,691,0,91,0.23981239770349347,1778.2058044960327,3,0
61,26231.650783723373,192,1,133,0.3898238959827317,2118.9725339151423,2,0
50,47595.29084084878,810,0,192,0.09827669990343231,2442.966917511158,1,0
67,27945.87288791061,346,0,173,0.33419938234221,1716.3388773127642,2,0
59,63726.86746708143,356,0,147,0.3511223796190489,3381.0075410948425,2,0
48,47958.82298322839,206,0,170,0.1660993853454174,2794.3488571861217,2,0
68,6471.355375323358,1950,0,2,0.23098912703786312,774.9896383249011,2,0
48,94689.25777110599,82,1,222,0.42869112241088325,4321.429901361443,2,0
54,44344.86093250648,1427,0,123,0.039043013799241674,2735.789145616044,3,0
37,23031.524778523042,386,1,33,0.3117074803745215,1567.5650942730306,2,0
42,24938.31431625883,98,0,9,0.313935286425356,1948.6152158353648,3,1
31,6851.856318615762,330,0,158,0.46815393553371915,1224.113277581353,2,0
56,43227.70147007294,84,0,17,0.22971054953374342,2501.885917975665,1,0
24,61142.53904206011,55,1,59,0.2800914378959368,3241.734117465458,3,1
53,21078.147449316355,303,0,8,0.18628516000335962,2132.111836840549,1,0
39,17606.6852326975,103,0,138,0.1010408289721234,1313.0538425396837,4,0
59,40636.51329275675,11,0,31,0.4430759318142881,2156.255836126289,5,0
53,94441.11644699493,174,0,28,0.1712214833493177,4785.279053075273,4,0
69,86912.28966097317,246,0,36,0.3262388360581384,4039.3863133766367,3,0
52,70483.92174384248,623,0,158,0.2518892034451739,3669.911263735296,3,0
18,182792.33429658195,322,0,11,0.0921663040372924,7965.468420583817,3,0
40,76075.07790000371,1797,0,118,0.09449235310658177,4136.646328134171,3,0
24,91613.37556584761,6,0,10,0.11027979604739865,4200.113374366476,2,0
34,38935.658641947135,118,0,36,0.6702592907474413,2189.346209056738,2,0
64,27519.540778024424,230,0,123,0.04324490190891535,2344.881919813988,2,0
51,90015.84598076482,1043,0,17,0.5572558973573011,4525.660287723744,3,0
31,16566.974861030994,609,0,50,0.44887882543775637,1288.525638753563,2,0
26,50971.91989206913,634,0,139,0.08516033621620113,3103.687623065797,2,0
42,22329.450307451112,212,0,57,0.18642667172917352,2067.4560010655186,1,0
23,47638.75794640844,94,1,39,0.6461255375344275,2408.031106507799,1,0
31,44995.65776451294,13,1,54,0.6508071355059839,2327.867094541153,1,0
46,41372.959321965616,15,0,126,0.6845358221965456,2287.2333202905515,1,0
59,35804.38557741292,1105,0,157,0.6119259298420072,2765.864228624604,1,0
51,55604.91061683938,19,0,27,0.08822545852524097,3176.2461872596323,1,0
18,63211.492478487744,536,0,166,0.16116408299238344,3036.5034271520562,2,0
46,11859.43720915044,75,0,13,0.2427200492046852,1900.1959028924593,3,0
43,35021.11913741162,530,0,16,0.456155956247307,2099.6656722460525,1,0
48,25991.71510526134,181,0,52,0.1794453122872036,1935.9487888660376,2,0
66,42416.94606602582,126,1,66,0.37962044999243405,2860.632550455369,1,0
18,26032.496962855665,59,0,57,0.4480687049494212,2105.7182107574845,2,0
33,100717.63544811263,580,0,24,0.2162021985176633,4686.557505843473,3,0
50,34385.44540717892,421,0,45,0.37140600137159496,1951.7597089856367,2,0
18,79956.45946604453,406,0,179,0.24094445911222692,3727.583248537623,2,0
64,16954.100030388738,249,0,359,0.21590361208264572,1467.522017933511,2,0
47,29010.51275330474,1345,0,29,0.0670804382855029,2096.7492131327044,1,0
54,22208.670751265752,188,0,90,0.5402261757942325,1582.313670551914,2,0
33,49758.91072724369,1817,1,24,0.31170507842054024,2660.741322837867,1,0
54,14073.046311673892,99,0,299,0.36375287526985073,1160.2800472294573,2,0
58,9255.145230187558,121,0,208,0.43877992169783314,906.8030998319099,5,0
45,22015.850749842117,77,0,184,0.28870570486477687,1571.52169644345,4,0
45,56890.490279203324,8,0,0,0.14592154397935447,2792.4947497265616,1,0
46,19000.17306394538,57,1,75,0.2525431289249736,1292.4155599216353,3,1
29,44912.063613102626,338,0,42,0.07940112675717322,2318.917703843581,4,0
39,21636.67161777257,3,0,51,0.29433965999949385,1519.2225813626198,2,0
39,8934.99222401702,75,0,27,0.3538081205616532,1235.768544776609,2,0
47,71794.11210070142,45,0,20,0.5059007146218838,3783.5565947543346,2,0
56,61052.6456863933,638,0,35,0.2177490535403291,3347.271302195076,3,0
26,35176.63941656048,25,1,47,0.4073709212653287,1947.0663318020527,3,0
40,37583.25006016207,131,0,50,0.2752744979265921,2285.6240620481926,2,0
64,30760.1863112302,274,0,102,0.22481724834149583,1857.9381515109158,1,0
30,15897.851312553867,250,0,52,0.338475695903025,1432.6856534659228,2,0
29,103239.29442744397,359,1,53,0.0589059017590195,4653.499965198358,3,1
45,33507.06640731583,230,1,70,0.43089571819698114,1864.7639170395478,1,0
